time,portfolio_value,strategy_return
2018-10-24 11:00:00,1000000,0
2018-10-24 12:00:00,1000000,0
2018-10-24 13:00:00,1000000,0
2018-10-24 14:00:00,1000000,0
2018-10-24 15:00:00,1000000,0
2018-10-25 07:00:00,1000000,0
2018-10-25 08:00:00,1000000,0
2018-10-25 09:00:00,1000000,0
2018-10-25 10:00:00,1000000,0
2018-10-25 11:00:00,1000000,0
2018-10-25 12:00:00,1000000,0
2018-10-25 13:00:00,1000000,0
2018-10-25 14:00:00,1000000,0
2018-10-25 15:00:00,1000000,0
2018-10-26 07:00:00,1000000,0
2018-10-26 08:00:00,1000000,0
2018-10-26 09:00:00,1000000,0
2018-10-26 10:00:00,1000000,0
2018-10-26 11:00:00,1000000,0
2018-10-26 12:00:00,1000000,0
2018-10-26 13:00:00,1000000,0
2018-10-26 14:00:00,1000000,0
2018-10-26 15:00:00,1000000,0
2018-10-29 07:00:00,1000000,0
2018-10-29 08:00:00,1000000,0
2018-10-29 09:00:00,1000000,0
2018-10-29 10:00:00,1000000,0
2018-10-29 11:00:00,1000000,0
2018-10-29 12:00:00,1000000,0
2018-10-29 13:00:00,1000000,0
2018-10-29 14:00:00,1000000,0
2018-10-29 15:00:00,1000000,0
2018-10-30 07:00:00,1000000,0
2018-10-30 08:00:00,1000000,0
2018-10-30 09:00:00,1000000,0
2018-10-30 10:00:00,1000000,0
2018-10-30 11:00:00,1000000,0
2018-10-30 12:00:00,1000000,0
2018-10-30 13:00:00,1000000,0
2018-10-30 14:00:00,1000000,0
2018-10-30 15:00:00,1000000,0
2018-10-31 07:00:00,1000000,0
2018-10-31 08:00:00,1000000,0
2018-10-31 09:00:00,1000000,0
2018-10-31 10:00:00,1000000,0
2018-10-31 11:00:00,1000000,0
2018-10-31 12:00:00,1000000,0
2018-10-31 13:00:00,1000000,0
2018-10-31 14:00:00,1000000,0
2018-10-31 15:00:00,1000000,0
2018-11-01 07:00:00,1000000,0
2018-11-01 08:00:00,1000000,0
2018-11-01 09:00:00,1000000,0
2018-11-01 10:00:00,1000000,0
2018-11-01 11:00:00,1000000,0
2018-11-01 12:00:00,1000000,0
2018-11-01 13:00:00,1000000,0
2018-11-01 14:00:00,1000000,0
2018-11-01 15:00:00,1000000,0
2018-11-02 07:00:00,1000000,0
2018-11-02 08:00:00,1000000,0
2018-11-02 09:00:00,1000000,0
2018-11-02 10:00:00,1000000,0
2018-11-02 11:00:00,1000000,0
2018-11-02 12:00:00,1000000,0
2018-11-02 13:00:00,1000000,0
2018-11-02 14:00:00,1000000,0
2018-11-02 15:00:00,1000000,0
2018-11-05 07:00:00,1000000,0
2018-11-05 08:00:00,1000000,0
2018-11-05 09:00:00,1000000,0
2018-11-05 10:00:00,1000000,0
2018-11-05 11:00:00,1000000,0
2018-11-05 12:00:00,1000000,0
2018-11-05 13:00:00,1000000,0
2018-11-05 14:00:00,1000000,0
2018-11-05 15:00:00,1000000,0
2018-11-05 16:00:00,1000000,0
2018-11-06 07:00:00,1000000,0
2018-11-06 08:00:00,1000000,0
2018-11-06 09:00:00,1000000,0
2018-11-06 10:00:00,1000000,0
2018-11-06 11:00:00,1000000,0
2018-11-06 12:00:00,1000000,0
2018-11-06 13:00:00,1000000,0
2018-11-06 14:00:00,1000000,0
2018-11-06 15:00:00,1000000,0
2018-11-06 16:00:00,1000000,0
2018-11-07 07:00:00,1000000,0
2018-11-07 08:00:00,1000000,0
2018-11-07 09:00:00,1000000,0
2018-11-07 10:00:00,1000000,0
2018-11-07 11:00:00,1000000,0
2018-11-07 12:00:00,1000000,0
2018-11-07 13:00:00,1000000,0
2018-11-07 14:00:00,1000000,0
2018-11-07 15:00:00,1000000,0
2018-11-07 16:00:00,1000000,0
2018-11-08 07:00:00,1000000,0
2018-11-08 08:00:00,1000000,0
2018-11-08 09:00:00,1000000,0
2018-11-08 10:00:00,1000000,0
2018-11-08 11:00:00,1000000,0
2018-11-08 12:00:00,1000000,0
2018-11-08 13:00:00,1000000,0
2018-11-08 14:00:00,1000000,0
2018-11-08 15:00:00,1000000,0
2018-11-08 16:00:00,1000000,0
2018-11-09 07:00:00,1000000,0
2018-11-09 08:00:00,1000000,0
2018-11-09 09:00:00,1000000,0
2018-11-09 10:00:00,1000000,0
2018-11-09 11:00:00,1000000,0
2018-11-09 12:00:00,1000000,0
2018-11-09 13:00:00,1000000,0
2018-11-09 14:00:00,1000000,0
2018-11-09 15:00:00,1000000,0
2018-11-09 16:00:00,1000000,0
2018-11-12 07:00:00,1000000,0
2018-11-12 08:00:00,1000000,0
2018-11-12 09:00:00,1000000,0
2018-11-12 10:00:00,1000000,0
2018-11-12 11:00:00,1000000,0
2018-11-12 12:00:00,1000000,0
2018-11-12 13:00:00,1000000,0
2018-11-12 14:00:00,1000000,0
2018-11-12 15:00:00,1000000,0
2018-11-12 16:00:00,1000000,0
2018-11-13 07:00:00,1000000,0
2018-11-13 08:00:00,1000000,0
2018-11-13 09:00:00,1000000,0
2018-11-13 10:00:00,1000000,0
2018-11-13 11:00:00,1000000,0
2018-11-13 12:00:00,1000000,0
2018-11-13 13:00:00,1000000,0
2018-11-13 14:00:00,1000000,0
2018-11-13 15:00:00,1000000,0
2018-11-13 16:00:00,1000000,0
2018-11-14 07:00:00,1000000,0
2018-11-14 08:00:00,1000000,0
2018-11-14 09:00:00,1000000,0
2018-11-14 10:00:00,1000000,0
2018-11-14 11:00:00,1000000,0
2018-11-14 12:00:00,1000000,0
2018-11-14 13:00:00,1000000,0
2018-11-14 14:00:00,1000000,0
2018-11-14 15:00:00,1000000,0
2018-11-14 16:00:00,1000000,0
2018-11-15 07:00:00,1000000,0
2018-11-15 08:00:00,1000000,0
2018-11-15 09:00:00,1000000,0
2018-11-15 10:00:00,1000000,0
2018-11-15 11:00:00,1000000,0
2018-11-15 12:00:00,1000000,0
2018-11-15 13:00:00,1000000,0
2018-11-15 14:00:00,1000000,0
2018-11-15 15:00:00,1000000,0
2018-11-15 16:00:00,1000000,0
2018-11-16 07:00:00,1000000,0
2018-11-16 08:00:00,1000000,0
2018-11-16 09:00:00,1000000,0
2018-11-16 10:00:00,1000000,0
2018-11-16 11:00:00,1000000,0
2018-11-16 12:00:00,1000000,0
2018-11-16 13:00:00,1000000,0
2018-11-16 14:00:00,1000000,0
2018-11-16 15:00:00,1000000,0
2018-11-16 16:00:00,1000000,0
2018-11-19 07:00:00,1000000,0
2018-11-19 08:00:00,1000000,0
2018-11-19 09:00:00,1000000,0
2018-11-19 10:00:00,1000000,0
2018-11-19 11:00:00,1000000,0
2018-11-19 12:00:00,1000000,0
2018-11-19 13:00:00,1000000,0
2018-11-19 14:00:00,1000000,0
2018-11-19 15:00:00,1000000,0
2018-11-19 16:00:00,1000000,0
2018-11-20 07:00:00,1000000,0
2018-11-20 08:00:00,1000000,0
2018-11-20 09:00:00,1000000,0
2018-11-20 10:00:00,1000000,0
2018-11-20 11:00:00,1000000,0
2018-11-20 12:00:00,1000000,0
2018-11-20 13:00:00,1000000,0
2018-11-20 14:00:00,1000000,0
2018-11-20 15:00:00,1000000,0
2018-11-20 16:00:00,1000000,0
2018-11-21 07:00:00,1000000,0
2018-11-21 08:00:00,1000000,0
2018-11-21 09:00:00,1000000,0
2018-11-21 10:00:00,1000000,0
2018-11-21 11:00:00,1000000,0
2018-11-21 12:00:00,1000000,0
2018-11-21 13:00:00,1000000,0
2018-11-21 14:00:00,1000000,0
2018-11-21 15:00:00,1000000,0
2018-11-21 16:00:00,1000000,0
2018-11-22 07:00:00,1000000,0
2018-11-22 08:00:00,1000000,0
2018-11-22 09:00:00,1000000,0
2018-11-22 10:00:00,1000000,0
2018-11-22 11:00:00,1000000,0
2018-11-22 12:00:00,1000000,0
2018-11-22 13:00:00,1000000,0
2018-11-22 14:00:00,1000000,0
2018-11-22 15:00:00,1000000,0
2018-11-22 16:00:00,1000000,0
2018-11-23 07:00:00,1000000,0
2018-11-23 08:00:00,1000000,0
2018-11-23 09:00:00,1000000,0
2018-11-23 10:00:00,1000000,0
2018-11-23 11:00:00,1000000,0
2018-11-23 12:00:00,1000000,0
2018-11-23 13:00:00,1000000,0
2018-11-23 14:00:00,1000000,0
2018-11-23 15:00:00,1000000,0
2018-11-23 16:00:00,1000000,0
2018-11-26 07:00:00,1000000,0
2018-11-26 08:00:00,1000000,0
